,title,link,salary,location,company,classification,summary
0,Software Engineer x 2,/job/52901144?type=promoted#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,ACI Worldwide (Pacific) Pty Ltd,Information & Communication Technology,
1,Software Engineer - ServiceNow,/job/52767848?type=promoted#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,Equifax Australia & New Zealand,Information & Communication Technology,
2,Junior Software Engineer,/job/52996665?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,ASIC,Information & Communication Technology,
3,Junior Software Developer,/job/52961042?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,NA,Information & Communication Technology,
4,Software Developer,/job/52967998?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$120,000 - $129,999",Sydney,Funded Club,Information & Communication Technology,
5,Software Developer,/job/52968631?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$55,000 - $64,999",Sydney,Mobile Mart Pty Ltd,Information & Communication Technology,
6,Software Engineer,/job/52926051?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$90,000 - $110,000",Sydney,Solentive Systems,Information & Communication Technology,
7,Junior Software Engineer,/job/52996666?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,ASIC,Government & Defence,
8,Software Engineer,/job/52948809?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,Macquarie Group Limited,Information & Communication Technology,
9,Software Developer - multiple positions,/job/52551784?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,Universities Admissions Centre (NSW & ACT) Pty Ltd,Information & Communication Technology,
10,Software Engineer,/job/52912383?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,$110k - $140k p.a. + Super and benefits,Sydney,Davidson Technology,Information & Communication Technology,
11,Software Developer,/job/52981703?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,Hatch Talent,Information & Communication Technology,
12,Principal Software Engineer,/job/52966374?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,Access Innovation Media,Information & Communication Technology,
13,Backend / Full-Stack Developer,/job/52962545?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,"Newcastle, Maitland & Hunter",Safearth,Information & Communication Technology,
14,Software Engineer,/job/52766048?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$75,000 - $89,999",Sydney,NA,Information & Communication Technology,
15,Software Engineer,/job/52728429?type=standard#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$80,000 - $100,000",Sydney,ELO Digital Office AU/NZ Pty Ltd,Information & Communication Technology,
16,Full Stack Developer,/job/52962473?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,expensemanager Software Pty Ltd,Information & Communication Technology,
17,Junior Developer,/job/52972855?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,The Hollard Insurance Company,Information & Communication Technology,
18,Junior Software Developer - .Net,/job/52961060?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$55,000 - $64,999",Sydney,Companion Systems Pty Ltd,Information & Communication Technology,
19,Graduate Software Developer,/job/52910071?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,IMSX,Information & Communication Technology,
20,Software Engineer -Frontend,/job/52970223?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,NA,Sydney,MRI Software,Information & Communication Technology,
